DATAFLOW,LAST UPDATE,freq,na_item,ppp_cat,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:PRC_PPP_IND$DEFAULTVIEW(1.0),24/06/22 23:00:00,A,EXP_PPS_EU27_2020,A01,PL,2015,541531,
ESTAT:PRC_PPP_IND$DEFAULTVIEW(1.0),24/06/22 23:00:00,A,EXP_PPS_EU27_2020,A01,PL,2016,551242,
ESTAT:PRC_PPP_IND$DEFAULTVIEW(1.0),24/06/22 23:00:00,A,EXP_PPS_EU27_2020,A01,PL,2017,574439,
ESTAT:PRC_PPP_IND$DEFAULTVIEW(1.0),24/06/22 23:00:00,A,EXP_PPS_EU27_2020,A01,PL,2018,601105,
ESTAT:PRC_PPP_IND$DEFAULTVIEW(1.0),24/06/22 23:00:00,A,EXP_PPS_EU27_2020,A01,PL,2019,627439,
ESTAT:PRC_PPP_IND$DEFAULTVIEW(1.0),24/06/22 23:00:00,A,EXP_PPS_EU27_2020,A01,PL,2020,623545,
ESTAT:PRC_PPP_IND$DEFAULTVIEW(1.0),24/06/22 23:00:00,A,EXP_PPS_EU27_2020,A01,PL,2021,675505,
ESTAT:PRC_PPP_IND$DEFAULTVIEW(1.0),24/06/22 23:00:00,A,EXP_PPS_EU27_2020,A01,PT,2012,150484,
ESTAT:PRC_PPP_IND$DEFAULTVIEW(1.0),24/06/22 23:00:00,A,EXP_PPS_EU27_2020,A01,PT,2013,154057,
ESTAT:PRC_PPP_IND$DEFAULTVIEW(1.0),24/06/22 23:00:00,A,EXP_PPS_EU27_2020,A01,PT,2014,156656,
ESTAT:PRC_PPP_IND$DEFAULTVIEW(1.0),24/06/22 23:00:00,A,EXP_PPS_EU27_2020,A01,PT,2015,161164,
ESTAT:PRC_PPP_IND$DEFAULTVIEW(1.0),24/06/22 23:00:00,A,EXP_PPS_EU27_2020,A01,PT,2016,163979,
ESTAT:PRC_PPP_IND$DEFAULTVIEW(1.0),24/06/22 23:00:00,A,EXP_PPS_EU27_2020,A01,PT,2017,167392,
ESTAT:PRC_PPP_IND$DEFAULTVIEW(1.0),24/06/22 23:00:00,A,EXP_PPS_EU27_2020,A01,PT,2018,175833,
ESTAT:PRC_PPP_IND$DEFAULTVIEW(1.0),24/06/22 23:00:00,A,EXP_PPS_EU27_2020,A01,PT,2019,181735,
ESTAT:PRC_PPP_IND$DEFAULTVIEW(1.0),24/06/22 23:00:00,A,EXP_PPS_EU27_2020,A01,PT,2020,170581,
ESTAT:PRC_PPP_IND$DEFAULTVIEW(1.0),24/06/22 23:00:00,A,EXP_PPS_EU27_2020,A01,PT,2021,180474,
ESTAT:PRC_PPP_IND$DEFAULTVIEW(1.0),24/06/22 23:00:00,A,EXP_PPS_EU27_2020,A01,SE,2012,202361,
ESTAT:PRC_PPP_IND$DEFAULTVIEW(1.0),24/06/22 23:00:00,A,EXP_PPS_EU27_2020,A01,SE,2013,200648,
ESTAT:PRC_PPP_IND$DEFAULTVIEW(1.0),24/06/22 23:00:00,A,EXP_PPS_EU27_2020,A01,SE,2014,206282,
ESTAT:PRC_PPP_IND$DEFAULTVIEW(1.0),24/06/22 23:00:00,A,EXP_PPS_EU27_2020,A01,SE,2015,214639,
ESTAT:PRC_PPP_IND$DEFAULTVIEW(1.0),24/06/22 23:00:00,A,EXP_PPS_EU27_2020,A01,SE,2016,216025,
ESTAT:PRC_PPP_IND$DEFAULTVIEW(1.0),24/06/22 23:00:00,A,EXP_PPS_EU27_2020,A01,SE,2017,221738,
ESTAT:PRC_PPP_IND$DEFAULTVIEW(1.0),24/06/22 23:00:00,A,EXP_PPS_EU27_2020,A01,SE,2018,227051,
ESTAT:PRC_PPP_IND$DEFAULTVIEW(1.0),24/06/22 23:00:00,A,EXP_PPS_EU27_2020,A01,SE,2019,230005,
ESTAT:PRC_PPP_IND$DEFAULTVIEW(1.0),24/06/22 23:00:00,A,EXP_PPS_EU27_2020,A01,SE,2020,230403,
ESTAT:PRC_PPP_IND$DEFAULTVIEW(1.0),24/06/22 23:00:00,A,EXP_PPS_EU27_2020,A01,SE,2021,247920,
ESTAT:PRC_PPP_IND$DEFAULTVIEW(1.0),24/06/22 23:00:00,A,EXP_PPS_EU27_2020,A01,TR,2012,810153,
ESTAT:PRC_PPP_IND$DEFAULTVIEW(1.0),24/06/22 23:00:00,A,EXP_PPS_EU27_2020,A01,TR,2013,857195,
ESTAT:PRC_PPP_IND$DEFAULTVIEW(1.0),24/06/22 23:00:00,A,EXP_PPS_EU27_2020,A01,TR,2014,916458,
ESTAT:PRC_PPP_IND$DEFAULTVIEW(1.0),24/06/22 23:00:00,A,EXP_PPS_EU27_2020,A01,TR,2015,998910,
ESTAT:PRC_PPP_IND$DEFAULTVIEW(1.0),24/06/22 23:00:00,A,EXP_PPS_EU27_2020,A01,TR,2016,1022402,
ESTAT:PRC_PPP_IND$DEFAULTVIEW(1.0),24/06/22 23:00:00,A,EXP_PPS_EU27_2020,A01,TR,2017,1080716,
ESTAT:PRC_PPP_IND$DEFAULTVIEW(1.0),24/06/22 23:00:00,A,EXP_PPS_EU27_2020,A01,TR,2018,1083816,
ESTAT:PRC_PPP_IND$DEFAULTVIEW(1.0),24/06/22 23:00:00,A,EXP_PPS_EU27_2020,A01,TR,2019,1101181,
ESTAT:PRC_PPP_IND$DEFAULTVIEW(1.0),24/06/22 23:00:00,A,EXP_PPS_EU27_2020,A01,TR,2020,1088811,
